report_id,Tends to find fault with others,Does a thorough job,Is depressed/Blue,Is original/comes up with new ideas,Is reserved,Is helpful and unselfish with others,Can be somewhat careless,Is relaxed/handles stress well,Is curious about many different things,Is full of energy,Starts quarrels with others,Is a reliable worker,Can be tense,Is ingenious/a deep thinker,Generates a lot of Enthusiasm,Has a forgiving nature,Tends to be disorganized,Worries a lot,Has an active imagination,Tends to be quiet,Is generally trusting,Tends to be lazy,Is emotionally stable/not easily upset,is inventive,Has an assertive personality,Can be cold and aloof,Perseveres until the task is finished,Can be moody,Values artistic/aesthetic experiences,Is sometimes shy/inhibited,Is considerate and kind to almost everyone,Does things efficiently,Remains calm in tense situations,Prefers work that is routine,is outgoing/sociable,Is sometimes rude to others,Makes plans and follows through with them,Gets nervous easily,Likes to reflect/play with ideas,Has few artistic interests,Likes to cooperate with others,Is easily distracted,Is sophisticated in art or music or literature,I have cried during a movie,I have trouble following the story of a movie,I have trouble remembering the story of a movie a couple of days after seeing it,When watching a movie I cheer or shout or talk or curse at the screen,When watching a movie I feel like the things on the screen are happening to me,As a movie unfolds I start to have problems keeping track of events that happened earlier,"The emotions on the screen ""rub off"" on me - for instance if something sad is happening I get sad or if something frightening is happening I get scared",When watching a movie I get completely immersed in the alternative reality of the film,Movies change my position on social economic or political issues,When watching movies things get so intense that I have to stop watching,Gender identity (1 = female; 2 = male; 3 = self-described),Are you an only child? (1: Yes; 0: No; -1: Did not respond),Movies are best enjoyed alone (1: Yes; 0: No; -1: Did not respond),I enjoy driving fast,I enjoy rollercoasters ,Have you ever bungee-jumped?,I enjoy impulse shopping,I sometimes go out on weeknights even if I have work to do,I enjoy doing things without too much planning ,Have you ever been rock climbing?,I enjoy being in large loud crowds like the Times Square Ball Drop on New Years Eve,I enjoy going to large music or dance festivals ,I enjoy watching horror movies,No risk - No fun,I like to be surprised even if it startles or scares me,Have you ever parachuted?,I enjoy haunted houses,I had a sheltered upbringing,My life is very stressful,I value my life to be well ordered and predictable,Have you ridden a motorcycle?,Have you gambled or bet for money?,Have you ever been sky-diving?,Is talkative
11.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,1.0,2.0,3.0
12.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,5.0,4.0,6.0,1.0,1.0,4.0,6.0,1.0,6.0,6.0,5.0,2.0,1.0,0.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0
13.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,6.0,3.0,3.0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0
14.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0
15.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,6.0,1.0,2.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0,2.0,5.0,4.0,,5.0,3.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0
16.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0
17.0,2.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0
18.0,4.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,2.0,5.0
19.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,1.0,4.0,6.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,5.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,3.0,1.0,5.0,4.0,5.0,3.0,1.0,4.0,1.0,5.0
20.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0
21.0,1.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,6.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,4.0,3.0,5.0,2.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0
22.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,2.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0
23.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,0.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,,5.0,5.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0
24.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,5.0,3.0,2.0,4.0,1.0,4.0,4.0
25.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,1.0,4.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,3.0,1.0,2.0
26.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,5.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,5.0,2.0,1.0,3.0,5.0,3.0,1.0,4.0,2.0,5.0
27.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,1.0,3.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0
28.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,,-1.0,-1.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0
29.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,1.0,0.0,1.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0
30.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,4.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,6.0,5.0,1.0,4.0,1.0,0.0,1.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,4.0,4.0
31.0,,5.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0
32.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,4.0,3.0,4.0,1.0,5.0,2.0,,4.0,5.0,1.0,2.0,4.0,2.0,5.0,1.0,4.0,4.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,3.0,2.0,5.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,4.0,2.0,1.0,3.0,4.0,5.0,3.0,1.0,2.0,1.0,2.0,5.0,3.0,4.0,2.0,1.0,1.0,4.0
33.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0
34.0,1.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0,1.0,5.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,6.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,1.0,4.0
35.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,3.0,5.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0
36.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,4.0,5.0,6.0,4.0,5.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,4.0,5.0,2.0,4.0,1.0,4.0,5.0,3.0,5.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,3.0
37.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0
38.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0
